
2024/11/28 (13:40:44) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/28 (13:40:44) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/28 (13:40:44) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/28 (13:40:44) | DEBUG: Shared::init() : Initialized.
2024/11/28 (13:40:44) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2024/11/28 (13:40:49) | INFO: Quitting! Runtime: 00:00:05

2024/11/29 (14:43:50) | ===> btop++ v.1.4.0
2024/11/29 (14:43:50) | INFO: Logger set to DEBUG
2024/11/29 (14:43:50) | DEBUG: Using locale en_US.UTF-8
2024/11/29 (14:43:50) | INFO: Running on /dev/pts/2
2024/11/29 (14:43:50) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/29 (14:43:50) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/29 (14:43:50) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/29 (14:43:50) | DEBUG: Shared::init() : Initialized.
2024/11/29 (14:43:50) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme

2024/11/29 (20:41:03) | ===> btop++ v.1.4.0
2024/11/29 (20:41:03) | INFO: Logger set to DEBUG
2024/11/29 (20:41:03) | DEBUG: Using locale en_US.UTF-8
2024/11/29 (20:41:03) | INFO: Running on /dev/pts/1
2024/11/29 (20:41:03) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/29 (20:41:03) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/29 (20:41:03) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/29 (20:41:03) | DEBUG: Shared::init() : Initialized.
2024/11/29 (20:41:03) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
